Invoice No.,Invoice Date,Invoice Total ($),Discount ($),Net Amount ($),Payment No,Payment Date,PO No.,RA No.,GST $,HST $,QST $
'RV002580920214,10/31/2025,-1685.150,0.00,-1685.150,004 00018659182026,11/03/2025,'002580920214,'920214,-80.250,0.00,0.00
'FD005520550523,10/30/2025,-64.800,0.00,-64.800,004 00022080362026,12/26/2025,'005520550523,,-3.090,0.00,0.00
'FD013160860040,10/30/2025,-64.030,0.00,-64.030,004 00022080362026,12/26/2025,'013160860040,,-3.050,0.00,0.00
'RV013160860040,10/30/2025,-1685.150,0.00,-1685.150,004 00018529432026,10/31/2025,'013160860040,'860040,-80.250,0.00,0.00
'RV005520550523,10/30/2025,-2238.930,0.00,-2238.930,004 00018529432026,10/31/2025,'005520550523,'550523,-106.620,0.00,0.00
'RV014460335458,10/28/2025,-2238.930,0.00,-2238.930,004 00018352192026,10/29/2025,'014460335458,'335458,-106.620,0.00,0.00
'FD014460335458,10/28/2025,-66.970,0.00,-66.970,004 00022080362026,12/26/2025,'014460335458,,-3.190,0.00,0.00
'RV015780432343,10/27/2025,-2238.930,0.00,-2238.930,004 00018352192026,10/29/2025,'015780432343,'432343,-106.620,0.00,0.00
'INV-32764,10/27/2025,1753.75,0.00,1753.75,004 00022080362026,12/26/2025,'008945909513,,0.00,228.75,0.00
'FD015780432343,10/27/2025,-80.020,0.00,-80.020,004 00022080362026,12/26/2025,'015780432343,,-3.810,0.00,0.00
'RV005921186062,10/27/2025,-2374.280,0.00,-2374.280,004 00018352192026,10/29/2025,'005921186062,'1186062,-113.060,0.00,0.00
'FD005440640522,10/24/2025,-85.290,0.00,-85.290,004 00022080362026,12/26/2025,'005440640522,,-4.060,0.00,0.00
'INV-32748,10/24/2025,2287.95,0.00,2287.95,004 00022080362026,12/26/2025,'008945887208,,108.95,0.00,0.00
'INV-32746,10/24/2025,2287.95,0.00,2287.95,004 00022080362026,12/26/2025,'008945876535,,108.95,0.00,0.00
'INV-32745,10/24/2025,2151.45,0.00,2151.45,004 00022080362026,12/26/2025,'008945877203,,102.45,0.00,0.00
'RV005440640522,10/24/2025,-2238.930,0.00,-2238.930,004 00018352192026,10/29/2025,'005440640522,'640522,-106.620,0.00,0.00
'RV005250597010,10/23/2025,-2238.930,0.00,-2238.930,004 00018072482026,10/24/2025,'005250597010,'597010,-106.620,0.00,0.00
'FD005250597010,10/23/2025,-144.600,0.00,-144.600,004 00022080362026,12/26/2025,'005250597010,,-6.890,0.00,0.00
'RV001540485318,10/22/2025,-1808.580,0.00,-1808.580,004 00018072482026,10/24/2025,'001540485318,'485318,-80.250,0.00,0.00
'FD005330535556,10/22/2025,-200.380,0.00,-200.380,004 00022080362026,12/26/2025,'005330535556,,-9.540,0.00,0.00
'FD001610421711,10/22/2025,-65.010,0.00,-65.010,004 00022080362026,12/26/2025,'001610421711,,-3.100,0.00,0.00
'SHIPPED,10/22/2025,1723.25,0.00,1723.25,004 00022080362026,12/26/2025,'008945849917,,0.00,198.25,0.00
'RV001640399909,10/22/2025,-2374.280,0.00,-2374.280,004 00018072482026,10/24/2025,'001640399909,'399909,-113.060,0.00,0.00
'RV001610421711,10/22/2025,-2238.930,0.00,-2238.930,004 00018072482026,10/24/2025,'001610421711,'421711,-106.620,0.00,0.00
'INV-32728,10/22/2025,2287.95,0.00,2287.95,004 00022080362026,12/26/2025,'008945854366,,108.95,0.00,0.00
'RV005330535556,10/22/2025,-2238.930,0.00,-2238.930,004 00018072482026,10/24/2025,'005330535556,'535556,-106.620,0.00,0.00
'FD005290466544,10/21/2025,-162.290,0.00,-162.290,004 00022080362026,12/26/2025,'005290466544,,-7.730,0.00,0.00
'RV008941174463,10/21/2025,-2238.930,0.00,-2238.930,004 00018072482026,10/24/2025,'008941174463,'4003281486,-106.620,0.00,0.00
'RV002550741717,10/21/2025,-1685.150,0.00,-1685.150,004 00018072482026,10/24/2025,'002550741717,'741717,-80.250,0.00,0.00
'FD002550741717,10/21/2025,-69.130,0.00,-69.130,004 00022080362026,12/26/2025,'002550741717,,-3.290,0.00,0.00
'RV005290466544,10/21/2025,-1685.150,0.00,-1685.150,004 00018072482026,10/24/2025,'005290466544,'466444,-80.250,0.00,0.00
'INV-32673,10/20/2025,2287.95,0.00,2287.95,004 00022080362026,12/26/2025,'008945784009,,108.95,0.00,0.00
'INV-32714,10/20/2025,1723.25,0.00,1723.25,004 00022080362026,12/26/2025,'008945776739,,0.00,198.25,0.00
'INV-32716,10/20/2025,2287.95,0.00,2287.95,004 00022080362026,12/26/2025,'008945825462,,108.95,0.00,0.00
'INV-32715,10/20/2025,1601.25,0.00,1601.25,004 00022080362026,12/26/2025,'008945800037,,76.25,0.00,0.00
'RV005120522278,10/18/2025,-2409.510,0.00,-2409.510,004 00017753032026,10/20/2025,'005120522278,'522278,0.00,-277.200,0.00
'RV016670023693,10/17/2025,-1685.150,0.00,-1685.150,004 00017753032026,10/20/2025,'016670023693,'23693,-80.250,0.00,0.00
'RV008941171140,10/17/2025,-2409.510,0.00,-2409.510,004 00017753032026,10/20/2025,'008941171140,'8942032892,0.00,-277.200,0.00
'INV-32620,10/17/2025,4924.54,0.00,4924.54,004 00022080362026,12/26/2025,'008945713932,,0.00,566.54,0.00
'0136780983,10/17/2025,-3300.0,0.00,-3300.0,004 00017753032026,10/20/2025,'10/3/2025,'Email,0.00,0.00,0.00
'FD005120522278,10/17/2025,-138.620,0.00,-138.620,004 00022080362026,12/26/2025,'005120522278,,-6.600,0.00,0.00
